month,working_papers,journal_articles,books,chapters,software_items,total,downloadable
1998-01,,,,,,51984,5707
1998-02,,,,,,54036,6920
1998-05,46096,8084,,,105,54285,7811
1998-07,,,,,,51385,7790
1998-09,52299,8366,,,191,60856,9106
1998-10,52996,8347,,,239,61582,9592
1998-11,53671,8363,,,254,62288,9875
1998-12,54954,8414,,,261,63629,11651
1999-01,55363,8561,,,284,64208,11951
1999-02,56224,9387,,,295,65906,12880
1999-03,57171,9958,,,305,67434,13599
1999-04,57516,9992,,,369,67877,14163
1999-05,58419,10147,,,383,68949,15097
1999-06,58300,10373,,,390,69063,15635
1999-07,58681,11929,,,394,71004,16090
1999-08,58487,11957,,,408,70852,16524
1999-09,58054,13100,,,422,71576,16790
1999-10,59029,14213,,,435,73677,17359
1999-11,60788,14278,,,456,75522,18540
1999-12,61972,14484,,,474,76930,20870
2000-01,64881,14830,,,511,80222,22449
2000-02,64447,14875,,,526,79848,22050
2000-03,64934,15112,,,549,80595,22643
2000-04,69412,15165,,,563,85140,22938
2000-05,70256,15294,,,570,86120,23825
2000-06,71347,15501,,,598,87446,24262
2000-07,73088,17329,,,605,91022,26808
2000-08,72391,31620,,,609,104620,30093
2000-09,75038,33840,,,621,109499,31279
2000-10,77876,33978,,,628,112482,33182
2000-11,78973,34250,,,640,113863,33662
2000-12,79650,34741,,,649,115040,35337
2001-01,80614,34803,,,653,116070,36118
2001-02,85447,35114,,,664,121225,38252
2001-03,86118,35842,,,687,122647,39009
2001-04,87006,36046,,,698,123750,40082
2001-05,86466,41432,,,707,128605,44940
2001-06,87198,42162,,,720,130080,45690
2001-07,88294,46325,,,728,135347,50376
2001-08,88747,48920,,,723,138390,53354
2001-09,89492,50068,,,769,140329,54925
2001-10,90959,51946,,,757,143662,57334
2001-11,91928,52081,,,761,144770,58381
2001-12,94562,52166,,,769,147497,59225
2002-01,95028,52179,,,771,147978,59755
2002-02,95973,53154,,,781,149908,61406
2002-03,97450,53772,,,788,152010,62570
2002-04,98446,56082,,,793,155321,64022
