month,netec,ideas,socionet,econpapers,economists_online,total
1998-01,13613,,,,,9049
1998-02,17552,,,,,13571
1998-03,22901,,,,,18229
1998-04,27347,,,,,22087
1998-05,35089,121072,,,,55753
1998-06,39973,85488,,,,55093
1998-07,41897,139941,,,,71238
1998-08,43487,201015,,,,92033
1998-09,34011,91379,,,,57818
1998-10,61695,128689,,,,105485
1998-11,86215,164679,,,,152553
1998-12,44719,87472,,,,73822
1999-01,64137,189058,,,,128755
1999-02,49947,178291,,,,100965
1999-03,88932,162576,,,,168357
1999-04,94400,230973,,,,214671
1999-05,86442,203730,,,,187793
1999-06,100215,212180,,,,203028
1999-07,95851,190071,,,,201307
1999-08,83328,155363,,,,166774
1999-09,90813,213709,,,,194152
1999-10,260731,300642,,,,474652
1999-11,143780,237143,,,,301744
1999-12,140027,235662,,,,294960
2000-01,147214,222727,,,,300546
2000-02,231158,351447,,,,498389
2000-03,435689,584010,,,,903026
2000-04,397873,630679,,,,914058
2000-05,351651,553442,,,,791717
2000-06,268350,405307,,,,584091
2000-07,221266,422137,,,,537083
2000-08,154357,474788,,,,479337
2000-09,155849,549313,,,,542876
2000-10,212703,572125,,,,672887
2000-11,190678,631867,,,,671561
2000-12,177606,475513,,,,550232
2001-01,185153,463463,1221,,,546930
2001-02,177591,552790,4058,,,596169
2001-03,272100,604082,2787,,,758844
2001-04,383747,594097,,,,888743
2001-05,306155,491496,2106,,,720079
2001-06,248667,671054,1259,,,782797
2001-07,192706,701610,918,42899,,782823
2001-08,188571,516158,828,98213,,715991
2001-09,189850,375211,477,73513,,565490
2001-10,252055,360748,1986,90228,,673153
2001-11,323991,245815,2789,95863,,654130
2001-12,264431,179845,5715,81547,,521518
2002-01,255467,231091,4739,99159,,579349
2002-02,218245,229197,3399,117404,,557724
2002-03,271679,246418,5621,129266,,641019
2002-04,252718,242732,6057,113216,,603356
2002-05,212407,237327,16568,123871,,579163
2002-06,171054,166061,12938,97981,,441262
2002-07,208377,214683,3409,110716,,531164
2002-08,165206,237451,5291,104320,,506320
2002-09,217379,310530,2152,139864,,663365
2002-10,338737,479248,2497,243358,,1056076
2002-11,324861,413809,4926,266453,,1004207
2002-12,322758,329964,2352,209711,,860163
2003-01,272916,472111,1584,183886,,926260
2003-02,283706,527731,2039,183937,,992516
2003-03,277877,613331,2353,206373,,1094452
2003-04,301244,713791,3651,255037,,1266501
2003-05,331400,726759,3046,299878,,1353963
2003-06,219781,709532,1762,239334,,1160983
2003-07,232051,746220,1124,239978,,1211614
2003-08,264521,719521,1285,284920,,1261962
2003-09,299219,1037087,1886,418491,,1744742
2003-10,490447,1166935,2865,519719,,2160094
2003-11,469206,1224816,3263,547462,,2222874
2003-12,395464,885733,3074,406918,,1672059
2004-01,352393,804038,2184,459804,,1612483
2004-02,288857,913844,2405,370082,,1566947
2004-03,353347,1025786,3455,401732,,1779141
2004-04,343537,976353,4214,267923,,1584484
2004-05,278318,672973,4723,225276,,1177267
2004-06,209319,582389,3239,183577,,975606
2004-07,166006,535344,2499,198878,,899924
2004-08,184956,566039,2857,206234,,945582
2004-09,175839,751336,3184,163373,,1084414
2004-10,259690,842473,5058,366631,,1470174
2004-11,277000,968808,5240,305672,,1551837
2004-12,115067,887532,4937,376828,,1379142
2005-01,171832,952200,3143,392918,,1500073
2005-02,36029,1078785,4400,344303,,1443018
2005-03,166913,1248664,5766,296283,,1712283
2005-04,,1225219,4238,381605,,1606771
2005-05,,1153924,3761,347033,,1508329
2005-06,,926726,2572,321738,,1243679
2005-07,,865849,701,279787,,1141396
2005-08,,976648,497,316403,,1301801
2005-09,,924380,3223,388061,,1312769
2005-10,,1506060,4681,436883,,1942074
2005-11,,1576493,4814,402448,,1981041
2005-12,,1255533,4476,310941,,1567476
2006-01,,1318769,4584,406527,,1728550
2006-02,,1588622,11145,457692,,2053532
2006-03,,1827980,35315,530915,,2391837
2006-04,,1645193,14738,473577,,2132239
2006-05,,1739810,,511116,,2247104
2006-06,,1506626,541,578316,,2073779
2006-07,,1200065,3990,389878,,1331025
2006-08,,1330492,6683,373575,,1438735
2006-09,,1462299,12447,483723,,1620918
2006-10,,1599051,13022,494781,,1880795
2006-11,,1728473,9072,486133,,2064579
2006-12,,1381557,12506,409611,,1647347
2007-01,,1475746,27714,397476,,1777260
2007-02,,1558807,5351,401918,,1823523
2007-03,,1762806,4508,405164,,2169665
2007-04,,1734414,3360,440019,,2174251
2007-05,,1720315,3462,444608,,2165223
2007-06,,1493373,1831,408051,,1900841
2007-07,,1604158,1373,331979,,1929489
2007-08,,1272355,1212,404138,,1674632
2007-09,,1402836,1137,402311,,1805046
2007-10,,1840254,793,437209,,2278910
2007-11,,1964630,1208,557154,,2516523
2007-12,,1505892,2477,323237,,1822198
2008-01,,1582180,1520,382970,,1911665
2008-02,,1799506,639,449137,,2187716
2008-03,,2050662,738,532201,,2515025
2008-04,,2194497,500,576279,,2700875
2008-05,,2288387,532,580656,,2795704
2008-06,,2290437,557,525686,,2741965
2008-07,,1975697,719,387579,,2304814
2008-08,,1907398,10410,335177,,2197507
2008-09,,2190239,18023,451249,,2598329
2008-10,,2116070,20116,576923,,2652901
2008-11,,2647317,23411,535322,,3137059
2008-12,,2102619,21432,452070,,2524386
2009-01,,2264862,20302,442098,,2673546
2009-02,,2534446,23285,509973,,3015861
2009-03,,2631519,8732,526834,,3118665
2009-04,,2546057,32960,526026,,3056714
2009-05,,2401697,27460,440746,,2825222
2009-06,,2127009,18955,404243,,2511355
2009-07,,1895084,13659,332954,,2206009
2009-08,,1826889,10485,314268,,2116471
2009-09,,2267372,10937,388210,,2626864
2009-10,,2697026,12857,459591,,3105919
2009-11,,2798940,15381,462848,,3230685
