month,netec,ideas,socionet,econpapers,new_economic_papers,economists_online,total
1998-01,8280,,,,,,6258
1998-02,13334,,,,,,10306
1998-03,16858,,,,,,13658
1998-04,19291,,,,,,15366
1998-05,16698,,,,,,13740
1998-06,13395,,,,,,11020
1998-07,12851,,,,,,10475
1998-08,11223,,,,,,9295
1998-09,9539,,,,,,7799
1998-10,16736,,,,,,13836
1998-11,19874,,,,,,16474
1998-12,11389,,,,,,9543
1999-01,16435,,,,,,14105
1999-02,12985,,,,,,11060
1999-03,19778,,,,,,16887
1999-04,19698,,,,,,16959
1999-05,17564,,,,,,15236
1999-06,21277,,,,,,18515
1999-07,18198,,,,,,15730
1999-08,12999,,,,,,11302
1999-09,13813,,,,,,12108
1999-10,26239,,,,,,22956
1999-11,23419,,,,,,20931
1999-12,22664,,,,,,20703
2000-01,21503,,,,,,19692
2000-02,28804,,,,,,26721
2000-03,40873,,,,,,38278
2000-04,38265,,,,,,36136
2000-05,35455,,,,,,33498
2000-06,27721,,,,,,26199
2000-07,22804,,,,,,21269
2000-08,20076,,,,,,19217
2000-09,19563,,,,,,18866
2000-10,27211,22871,,,,,48551
2000-11,32263,27649,,,,,58319
2000-12,22807,21091,,,,,42687
2001-01,30212,25860,,,,,54530
2001-02,33423,30767,,,,,62504
2001-03,45936,36211,,,,,80071
2001-04,59441,32794,,,,,89899
2001-05,48807,33214,76,,,,80100
2001-06,41993,28638,51,,,,68925
2001-07,44268,27850,38,1145,,,71611
2001-08,39595,23623,24,22581,,,84080
2001-09,39299,23417,39,16765,,,78055
2001-10,58456,36688,133,21532,,,114549
2001-11,64500,39967,202,24940,,,127175
2001-12,50359,30514,313,20953,,,100222
2002-01,56667,34854,278,23298,,,113035
2002-02,50093,35860,267,27561,,,111721
2002-03,57691,41900,276,34844,,,132696
2002-04,56980,43377,346,34001,,,132763
2002-05,49048,41449,315,34022,,,123068
2002-06,38275,33314,172,30750,3682,,105010
2002-07,42627,45085,144,35424,7459,,129624
2002-08,40211,45409,151,30993,6935,,122553
2002-09,48389,53704,222,38548,5332,,144967
2002-10,67983,78242,233,62571,8859,,216528
2002-11,63075,76366,319,64199,9352,,212271
2002-12,56491,58630,383,51852,7394,,174150
2003-01,57192,75269,336,49224,8123,,189333
2003-02,55244,83016,523,49632,10085,,197926
2003-03,60648,102030,515,54653,14710,,231637
2003-04,61010,100530,561,53084,13059,,227437
